﻿industry,sub_sector,company,brand_or_cn_name,country_or_region,primary_china_city_focus,recruiting_url,roles_to_watch,benefit_or_filter_tags,notes,data_source,waiqi_id,waiqi_industry,waiqi_scale,waiqi_cities,waiqi_welfare,waiqi_position_count,waiqi_source_url,merge_status,official_website,verified_career_url,career_enrichment_status
金融/保险/咨询,金融业,亚洲基础设施投资银行,亚投行,,北京市,,,"绩效奖金,带薪年假,五险一金",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,19153,金融业,50-99人,北京市,"绩效奖金,带薪年假,五险一金",0,https://www.waiqi.com/company/detail?id=19153,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,亚洲开发银行,亚洲开发银行,,全国,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,7253,金融业,10000人以上,全国,,0,https://www.waiqi.com/company/detail?id=7253,added_from_waiqi,,,not_checked
医疗健康/生命科学,医疗/医药/生物,烟台澳斯邦生物工程有限公司,烟台澳斯邦生物工程有限公司,,"北京市,烟台市",,,"绩效奖金,交通补助,通讯补助,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,18019,医疗/医药/生物,50-99人,"北京市,烟台市","绩效奖金,交通补助,通讯补助,定期体检",0,https://www.waiqi.com/company/detail?id=18019,added_from_waiqi,,,not_checked
汽车/出行/工业制造,汽车制造/维修/零配件,延锋彼欧汽车外饰系统有限公司,延锋彼欧,,"北京市,上海市,南京市,杭州市,长春市,长沙市,合肥市,南通市,宁波市,郑州市,东莞市",,,"五险一金,节日礼物,定期体检,年底双薪,带薪年假,午餐补助,交通补助,绩效奖金",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,16006,汽车制造/维修/零配件,1000-4999人,"北京市,上海市,南京市,杭州市,长春市,长沙市,合肥市,南通市,宁波市,郑州市,东莞市","五险一金,节日礼物,定期体检,年底双薪,带薪年假,午餐补助,交通补助,绩效奖金",0,https://www.waiqi.com/company/detail?id=16006,added_from_waiqi,,,not_checked
汽车/出行/工业制造,汽车制造/维修/零配件,延锋汽车饰件系统有限公司,延锋,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,6090,汽车制造/维修/零配件,1000-4999人,,,26,https://www.waiqi.com/company/detail?id=6090,added_from_waiqi,,,not_checked
消费品/零售/FMCG,快速消费品,妍丽化妆品（中国）有限公司,AFIONA妍丽,,"南京市,济南市,深圳市,成都市,昆明市,武汉市,长沙市",,,"年底双薪,绩效奖金,带薪年假,定期体检,年度旅游,五险一金",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,5270,快速消费品,1000-4999人,"南京市,济南市,深圳市,成都市,昆明市,武汉市,长沙市","年底双薪,绩效奖金,带薪年假,定期体检,年度旅游,五险一金",0,https://www.waiqi.com/company/detail?id=5270,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,岩邦投资管理（上海）有限公司,岩邦,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,38461,金融业,100-499人,,,4,https://www.waiqi.com/company/detail?id=38461,added_from_waiqi,,,not_checked
半导体/芯片/硬件,通信/电子/半导体,研拓(广东)科技有限公司,研拓,,,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,22983,通信/电子/半导体,100-499人,,,0,https://www.waiqi.com/company/detail?id=22983,added_from_waiqi,,,not_checked
物流/供应链/航运,交通/物流/仓储,盐田国际集装箱码头有限公司,盐田国际,,深圳市,,,"带薪年假,午餐补助,年度旅游,五险一金,节日礼物",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,4753,交通/物流/仓储,1000-4999人,深圳市,"带薪年假,午餐补助,年度旅游,五险一金,节日礼物",0,https://www.waiqi.com/company/detail?id=4753,added_from_waiqi,,,not_checked
消费品/零售/FMCG,快速消费品,扬州顶津食品有限公司南京分公司,顶津食品南京分公司,,扬州市,,,,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,19879,快速消费品,100-499人,扬州市,,0,https://www.waiqi.com/company/detail?id=19879,added_from_waiqi,,,not_checked
能源/化工/环保,能源/化工/环保,阳光电源股份有限公司,阳光电源,,"北京市,上海市,天津市,深圳市,苏州市,南京市,杭州市,武汉市,西安市,长沙市,贵阳市,福州市,呼和浩特市",,,"五险一金,绩效奖金,带薪年假,交通补助,股票期权,定期体检,年度旅游,节日礼物",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,4333,能源/化工/环保,1000-4999人,"北京市,上海市,天津市,深圳市,苏州市,南京市,杭州市,武汉市,西安市,长沙市,贵阳市,福州市,呼和浩特市","五险一金,绩效奖金,带薪年假,交通补助,股票期权,定期体检,年度旅游,节日礼物",0,https://www.waiqi.com/company/detail?id=4333,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,阳光人寿保险股份有限公司,阳光人寿保险股份有限公司,,全国,,,"五险一金,节日礼物,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,7147,金融业,1000-4999人,全国,"五险一金,节日礼物,定期体检",0,https://www.waiqi.com/company/detail?id=7147,added_from_waiqi,,,not_checked
文化/传媒/广告/体育,文化/传媒/广告/体育,阳狮(北京)文化传播有限公司,阳狮,,北京市,,,"五险一金,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,12163,文化/传媒/广告/体育,50-99人,北京市,"五险一金,定期体检",0,https://www.waiqi.com/company/detail?id=12163,added_from_waiqi,,,not_checked
文化/传媒/广告/体育,文化/传媒/广告/体育,阳狮广告有限公司,Publicis Groupe阳狮集团,,"北京市,上海市,成都市,深圳市,杭州市",,,"五险一金,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,967,文化/传媒/广告/体育,500-999人,"北京市,上海市,成都市,深圳市,杭州市","五险一金,定期体检",27,https://www.waiqi.com/company/detail?id=967,added_from_waiqi,,,not_checked
专业服务/咨询/人力资源,商务服务业,洋槐商务信息咨询（上海）有限公司,洋槐wework,,上海市,,,五险一金,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,5278,商务服务业,100-499人,上海市,五险一金,0,https://www.waiqi.com/company/detail?id=5278,added_from_waiqi,,,not_checked
工业制造/自动化/材料,机械/制造业,尧柏特种水泥集团有限公司,尧柏特种水泥集团有限公司,,西安市,,,"交通补助,通讯补助,午餐补助,节日礼物,定期体检,五险一金,绩效奖金",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,1836,机械/制造业,5000-9999人,西安市,"交通补助,通讯补助,午餐补助,节日礼物,定期体检,五险一金,绩效奖金",0,https://www.waiqi.com/company/detail?id=1836,added_from_waiqi,,,not_checked
宠物/农业/食品链,农林牧渔,曜土（深圳）农林发展有限公司,曜土（深圳）农林发展有限公司,,深圳市,,,五险一金,来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,5158,农林牧渔,小于50人,深圳市,五险一金,0,https://www.waiqi.com/company/detail?id=5158,added_from_waiqi,,,not_checked
金融/保险/咨询,金融业,野村东方国际证券有限公司,野村东方,,"北京市,上海市,杭州市,深圳市",,,"带薪年假,通讯补助,定期体检",来自 waiqi 公司目录，仅作为候选公司线索；官网招聘入口待验证。,waiqi_candidate,5480,金融业,100-499人,"北京市,上海市,杭州市,深圳市","带薪年假,通讯补助,定期体检",0,https://www.waiqi.com/company/detail?id=5480,added_from_waiqi,,,not_checked
